Order, No, Type, Hotel Name, Hotel Country, Hotel CityMatched Link 1,Matched Link 2,Matched Link 3,Matched Link 4,Matched Link 5,Matched Link 6,Matched Link 7,Matched Link 8,Matched Link 9,Matched Link 10
"11","29559", Child,"Pramana Giri Kusuma","Indonesia","Bali","https://pramanagirikusuma.com/","https://pramanagirikusuma.com/spa.htm","https://pramanagirikusuma.com/?sa=X&ved=2ahUKEwiooOTS1cCDAxUGLPkAHRenDPUQyK4DegQIAxB0","https://thebaliguideline.com/stay/ubud/pramana-giri-kusuma","","","","","",""
"12","29564", Child,"Hotel Piacere NAMBA","Japan","Osaka","https://hotel-piacere-namba.hotels-in-osaka.com/en/","https://www.a-hotel.com/japan/134452-osaka/7227633-1-hotel-piacere-namba/","","","","","","","",""
"13","29566", Child,"Yukairo Kikuya","Japan","Izu","https://www.japanican.com/hotel/japan/izu/kikuya","https://selected-ryokan.com/ryokan/yukairo-kikuya_izu-shuzenji_shizuoka_tokyo-suburbs.html","https://www.japantraveleronline.com/hotel-detail/3270002/","","","","","","",""
"14","29578", Child,"Hi Ocean Gyeongpo","South Korea","Gangneung-si","http://hiocean.kr/","https://www.hotelsone.com/gangneung-hotels-kr/hi-ocean-hotel-gyeongpo.html","https://restreserve.com/hotel/a17304679/hi-ocean-gyeongpo","","","","","","",""
"15","29587", Child,"Wanderlust Hostel","Brazil","Maceio","https://wanderlusthostelbar.com.br/","https://www.instagram.com/wanderlusthostelmaceio/","https://www.facebook.com/wanderlusthostelmaceio/","https://wanderlust-hostel-maceio.hotels-maceio.com/en/","https://wanderlust-hostel-maceio.hoteis-noreste-de-brasil.com/pt/","https://www.hoteis.com/ho1304407424/wanderlust-hostel-maceio-brasil/","","","",""
"16","29599", Child,"Pedras do Mar Resort & Spa","Portugal","Fenais da Luz","https://pedrasdomar.com/en/","https://pedrasdomar.com/","https://pt.reserving.com/hoteis/europa/portugal/acores/fenais-da-luz/pedras-do-mar-resort-spa","https://amantesdeviagens.com/planeamento/alojamento/pedras-do-mar-resort-spa-fenais-da-luz-sao-miguel-acores/","","","","","",""
"17","29651", Child,"Radisson Montevideo Victoria Plaza Hotel","Uruguay","Montevideo","https://www.radissonvictoriaplaza.com.uy/home","https://www.choicehotels.com/uruguay/montevideo/radisson-hotels/uy004","https://radissonvictoriaplaza.hotelmontevideo.net/en/","https://www.choicehotels.com/uruguay/montevideo/radisson-hotels/uy004?mc=llgoxxpx","https://www.lastminute.com/hotels/uruguay/montevideo/radisson-montevideo-victoria-plaza-hotel_hid-268865","","","","",""
"18","29682", Child,"Libere Madrid Palacio Real","Spain","Madrid","https://www.staylibere.com/en/apartments/libere-madrid-palacio-real","https://www.staylibere.com/es/apartamentos/libere-madrid-palacio-real","https://www.btravel.com/hotel/libere-madrid-palacio-real-madrid","https://www.lastminute.com/hotels/spain/madrid/libere-madrid-palacio-real_hid-54962","https://www.thomascook.com/holidays/spain/madrid/madrid/libere-madrid-palacio-real-35395/","","","","",""
"19","29686", Child,"Porcel Avant","Spain","Madrid","https://www.porcelhoteles.com/en/avant/","https://www.porcelhoteles.com/avant/","https://www.porcelhoteles.com/avant/situacion/","https://avanttorrejon.alohomoro.com/","https://www.thomascook.com/holidays/spain/madrid/madrid/porcel-avant-ex-avant-torrejonavant-aeropuerto-2372/","https://www.hotelsbyday.com/en/hotels/spain/madrid/hotel-porcel-avant?white_label=1","https://www.porcelhoteles.com/en/avant/rooms/","","",""
"20","29690", Child,"Bartley Lodge Hotel","United Kingdom","Cadnam","https://bartleylodge.newforesthotels.co.uk/","https://www.telegraph.co.uk/travel/destinations/europe/united-kingdom/england/hampshire/new-forest/hotels/bartley-lodge-hotel/","https://www.momondo.com/hotels/southampton/Bartley-Lodge-Hotel.mhd103442.ksp","https://www.logitravel.co.uk/hotels/united-kingdom/cadnam/bartley-lodge-hotel--hotel-1848783","","","","","",""
"21","29711", Child,"Rydges Hotel Port Macquarie","Australia","Port Macquarie","https://www.rydges.com/accommodation/port-macquarie-nsw/port-macquarie/","https://www.rydges.com/accommodation/port-macquarie-nsw/port-macquarie/hotel-rooms/","https://www.rydges.com/accommodation/port-macquarie-nsw/port-macquarie/accommodation/","https://www.hotel.com.au/port-macquarie/rydges-hotel-port-macquarie.htm","https://www.rydges.com/accommodation/port-macquarie-nsw/","https://www.momondo.com/hotels/port-macquarie/Rydges-Port-Macquarie.mhd130291.ksp","","","",""
"22","29724", Child,"T Star Cottage Langkawi","Malaysia","Langkawi","https://www.tstarcottage.com.my/","https://www.tstarcottage.com.my/tstarcottage","https://www.hotelscombined.com/Hotel/T_Star_Cottage_Langkawi.htm","","","","","","",""
"23","29727", Child,"Fullon Resort Kending","Taiwan","Kenting","https://www.fullon-hotels.com.tw/kd/en/","https://www.hotels.com/ho333171/fullon-resort-kending-hengchun-taiwan/","https://www.travelotaiwan.com/hotels/fullon-resort-kending/","https://happendesk.com/asia/fullon-resort-kending-in-the-heart-of-kenting-pingtung-taiwan-reviews-on-fullon-resort-kending/","","","","","",""
"24","29734", Child,"Tachibana Shikitei","Japan","Kaga","https://www.japanican.com/hotel/japan/kaga/tachibana-shikitei","https://www.myboutiquehotel.com/en/boutique-hotels-kaga/tachibana-shikitei.html","https://www.hotels21.com/japan/kaga/tachibana-shikitei","https://www.visitkaga.jp/attractions/shikitei","https://veronikasadventure.com/tachibana-shikitei-review/","","","","",""
"25","29739", Child,"Music City Hotel - Home of the San Francisco Music Hall of Fame","United States","San Francisco (CA)","https://musiccitysf.com/hotel/","https://www.hotels.com/ho318072/music-city-hotel-home-of-the-san-francisco-music-hall-of-fame-san-francisco-united-states-of-america/","https://www.hostelworld.com/hostels/p/33320/music-city-hotel-home-of-sf-music-hall-of-fame/","https://www.hoteles.com/en/ho318072/music-city-hotel-home-of-the-san-francisco-music-hall-of-fame-san-francisco-united-states-of-america/","https://musiccityhostel94109.thesanfranciscohotels.net/en/","https://musiccityfame.hotel-sanfrancisco.net/en/","https://www.hotelsone.com/san-francisco-hotels-us/music-city-hotel-home-of-the-san-francisco-music-hall-of-fame.html","","",""
"26","29750", Child,"Ameritania at Times Square","United States","New York (NY)","https://www.ameritanianyc.com/","https://www.ameritanianyc.com/rooms","https://www.ameritanianyc.com/our-hotel/contact-location","https://www.hotelscombined.com/Hotel/Ameritania_at_Times_Square.htm","https://www.kayak.com/New-York-Hotels-Ameritania-at-Times-Square.32957.ksp","","","","",""
"27","29757", Child,"Hollywood Beach Suites and Hotel","United States","Hollywood (FL)","https://hollywoodbeachsuitehotel.com/","https://www.kayak.com/Hollywood-Hotels-Hollywood-Beach-Suites-A-South-Beach-Group-Hotel.333810.ksp","https://www.dayuse.com/hotels/usa/hollywood-beach-suites-and-hotel","https://www.momondo.com/hotels/hollywood/Hollywood-Beach-Suites-and-Hotel.mhd333810.ksp","https://www.hotels.com/ho327122/hollywood-beach-suites-a-south-beach-group-hotel-hollywood-united-states-of-america/","","","","",""
"28","29767", Child,"Skyone Hotel","Taiwan","Kaohsiung","https://www.skyonehoteltw.com/","https://skyone.kaohsiunghotels24.com/en/","https://skyonehotel.tw-taiwan.com/en/","https://www.klook.com/hotels/detail/276825-skyone-hotel/","https://www.hotelsone.com/kaohsiung-hotels-tw/skyone-hotel.html","","","","",""
"29","29797", Child,"Dorsett Singapore","Singapore","Singapore","https://www.dorsetthotels.com/dorsett-singapore/","https://www.dorsetthotels.com/dorsett-singapore/hotel-amenities/","https://www.dorsetthotels.com/dorsett-singapore/deals-offers/","https://www.dorsetthospitality.com/our-hotels/singapore.html","https://www.dorsetthotels.com/dorsett-changi-city-singapore/","","","","",""
